"filename", "language", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/AllPosts.tsx", "TypeScript JSX", 15, 0, 0, 0, 15
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Dislikes.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/DisplayRegister.tsx", "TypeScript JSX", 45, 0, 1, 10, 56
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Header.tsx", "TypeScript JSX", -1, 0, 0, 1, 0
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Likes.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Login.tsx", "TypeScript JSX", 6, 0, 0, 1, 7
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakePost.tsx", "TypeScript JSX", 15, 0, 0, 0, 15
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/People.tsx", "TypeScript JSX", 12, 0, 0, 0, 12
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Post.tsx", "TypeScript JSX", 83, 0, 0, 3, 86
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Profile.tsx", "TypeScript JSX", 10, 0, 0, 0, 10
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Public.tsx", "TypeScript JSX", 0, 0, 10, 0, 10
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Register.tsx", "TypeScript JSX", 43, 0, 0, 2, 45
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/RouteSwitch.tsx", "TypeScript JSX", 5, 0, 0, 0, 5
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/post.css", "CSS", 0, 0, 0, 1, 1
"Total", "-", 237, 0, 11, 18, 266
