"filename", "language", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/About.tsx", "TypeScript JSX", 192, 0, 12, 21, 225
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/AllCommentsOnPost.tsx", "TypeScript JSX", 103, 0, 3, 10, 116
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/AllPosts.tsx", "TypeScript JSX", 117, 0, 1, 9, 127
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/App.tsx", "TypeScript JSX", 17, 0, 39, 13, 69
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Comment.tsx", "TypeScript JSX", 189, 0, 10, 22, 221
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Dislikes.tsx", "TypeScript JSX", 89, 0, 3, 10, 102
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Header.tsx", "TypeScript JSX", 72, 0, 0, 7, 79
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Likes.tsx", "TypeScript JSX", 93, 0, 3, 10, 106
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/LoadingBar.tsx", "TypeScript JSX", 19, 0, 0, 3, 22
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/LoadingScreen.tsx", "TypeScript JSX", 19, 0, 0, 4, 23
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/Login.tsx", "TypeScript JSX", 85, 0, 9, 15, 109
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakeComment.tsx", "TypeScript JSX", 115, 0, 8, 11, 134
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakeCommentPublic.tsx", "TypeScript JSX", 103, 0, 4, 11, 118
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakePost.tsx", "TypeScript JSX", 201, 0, 14, 21, 236
"/Users/patrikrasch/Documents/CODE/the-odin-project/113. JavaScript/Finishing-Up-With-JavaScript/top-netcity/src/components/MakePostPublic.tsx", "TypeScript JSX", 97, 0, 38, 16, 151
